year,gvkey1,TGTAT_ACQAT,TGTDVAL_ACQAT
2005,014418,0.2310499521,0.3773649696
2005,014563,0.2247726071,0.1272297776
2005,014605,0.106364289,0.057056884
2005,015037,0.242032552,0.502850234
2005,015247,0.1738450257,0.2647141897
2005,015855,0.3149858961,0.7665289859
2005,016188,0.0288719397,0.2036977338
2005,016453,0.0396420886,0.166496772
2005,016721,0.0414728682,0.1579726402
2005,018636,0.0080640429,0.009388712
2005,018699,0.0357223219,0.2415388312
2005,019349,0.0135733953,0.0161800471
2005,020214,0.0076743871,0.0133098566
2005,020423,0.4721312434,0.3086293719
2005,020488,0.0207225254,0.1825725333
2005,020779,0.0020039548,0.0043007998
2005,020847,0.0743575508,0.1452450825
2005,023616,0.1657851109,0.2802557827
2005,023945,0.0188350904,0.0709419603
2005,023964,0.0543195096,0.0387996497
2005,024409,0.025467747,0.0456216486
2005,024782,0.2577748895,0.5207087959
2005,024800,0.0003997403,0.0045675936
2005,024975,0.0504792022,0.0981000954
2005,025119,0.1439149959,0.3276503115
2005,025279,0.0011469009,0.0121098097
2005,025341,0.0498769472,0.0890070518
2005,025356,0.0935372292,0.2308742035
2005,025579,0.0382625173,0.0683259238
2005,025711,0.4619341307,0.2485205623
2005,025774,0.1176874871,0.2595775814
2005,025859,0.1571275041,0.2820835014
2005,026021,0.2727076424,0.3457009553
2005,026061,0.0390939206,0.1412117535
2005,026539,0.0704631549,0.1631752069
2005,026557,0.1710684798,0.2960532058
2005,027925,0.2681616427,0.4346233591
2005,028078,0.0129579238,0.0356898243
2005,028303,0.2731511858,0.1552593445
2005,028742,0.1265711351,0.116425637
2005,029250,0.0403559937,0.2169376796
2005,029433,0.213491638,0.4861634164
2005,030098,0.3550896179,0.4166763845
2005,030137,0.0195677849,0.0458934441
2005,030259,0.3378194561,0.528205395
2005,030697,0.0121628469,0.0184561925
2005,031193,0.0284964621,0.0717734477
2005,031488,0.4185563515,0.2437163565
2005,061181,0.0227459236,0.1186489813
2005,061321,0.2949714393,0.3003324281
2005,061355,0.0038855582,0.0356706983
2005,061398,0.269195726,0.6110380601
2005,062088,0.0829827695,0.2305076932
2005,062313,0.0141659665,0.0558822955
2005,062336,0.0103858237,0.1538640553
2005,062977,0.0623070605,0.6806869353
2005,063026,0.4488754489,0.620983746
2005,063169,0.0021509874,0.0086511517
2005,063196,0.0098611917,0.0876780201
2005,063422,0.0096064333,0.0175717452
2005,063724,0.0066315074,0.0874990559
2005,063892,0.2668713034,0.3848042225
2005,063898,0.0072503756,0.0219766941
2005,063901,1.3953419153,1.2319541531
2005,063938,0.0371391432,0.1066560011
2005,064166,0.0687131734,0.1735463706
2005,064535,0.05591473,0.1041644825
2005,064606,0.0360730688,0.0830856087
2005,065474,0.1456590488,0.4325840071
2005,065607,0.0239110394,0.0580001152
2005,066630,0.1784030634,0.8291695985
2005,100165,0.0344725025,0.0686502178
2005,100590,0.0027756516,0.0055429428
2005,100862,0.0114462193,0.0092164909
2005,101020,0.0033227399,0.0013069628
2005,101310,0.0392867041,0.1279150038
2005,106305,0.0204937795,0.0422895168
2005,110685,0.106498392,0.2322518074
2005,111961,0.1391460545,0.2879382778
2005,114524,0.015616271,0.0565901936
2005,114927,0.0141295164,0.0223472863
2005,117905,0.4811054829,0.226691817
2005,119216,0.032161006,0.0402025138
2005,120297,0.3668982199,0.393949327
2005,120822,0.2926936018,0.2544519517
2005,121717,0.0527656654,0.2047404933
2005,121934,0.2930134863,0.2875333115
2005,122034,0.1799677299,0.3506267842
2005,124638,0.0273809636,0.3147237198
2005,124775,0.0286719666,0.0217211868
2005,129850,0.0105902555,0.3002223954
2005,132758,0.0433817337,0.0456146171
2005,133327,0.1365080697,0.1534931886
2005,133766,0.0198773285,0.2954338937
2005,133888,0.3157875068,0.5390156399
2005,133985,0.1033539621,0.2686068642
2005,137573,0.2960476375,0.5096810108
2005,138607,0.241212025,0.2041581604
2005,139662,0.1354090822,0.1414065913
2005,140061,0.0946054587,0.2071331704
2005,140760,0.0770110596,0.1441535117
2005,140910,0.3461335992,0.5821846015
2005,141321,0.018922787,0.0582235501
2005,141957,0.0512512371,0.1938121495
2005,144066,0.0414649682,0.0299375796
2005,146171,0.0494617661,0.1798609675
2005,147452,0.0236625157,0.2050751364
2005,147658,0.1592193697,0.2966654625
2005,148650,0.0613652274,0.2234170899
2005,148870,0.0995596555,0.7460426047
2005,150201,0.1061576583,0.2477868827
2005,150699,0.4072640111,0.5289238781
2005,209382,0.0046815876,0.0323563898
2005,211322,0.0045716221,0.0327632916
2005,212340,0.1111412888,0.4943253617
2005,221612,0.0049392245,0.0126522763
2006,001078,0.0135772476,0.1146042979
2006,001161,0.1379250019,0.3678377577
2006,001243,0.0026434915,0.0048377622
2006,001300,0.0189651272,0.0167256068
2006,001533,0.3950637907,0.4969618509
2006,001602,0.0211021664,0.0629589795
2006,001632,0.000777556,0.0067722621
2006,001704,0.0401124922,0.048597608
2006,001891,0.0044852511,0.0109130196
2006,002055,0.2417255416,0.4776549853
2006,002136,0.0947596449,0.0449969015
2006,002285,0.0206954473,0.0397169556
2006,002597,0.0986361183,0.0166647091
2006,002615,0.076185335,0.2380291072
2006,002710,0.1072450255,0.1401998262
2006,002916,0.0256053159,0.1373943781
2006,002940,0.0197926328,0.2360209355
2006,002953,0.0117768894,0.0108795416
2006,003735,0.0584881194,0.1702921553
2006,003980,0.0235274509,0.1255331678
2006,004091,0.0329929671,0.1784313527
2006,004128,0.0736566231,0.318624848
2006,004222,0.0714870786,0.3154275222
2006,004321,0.0221026135,0.0297744751
2006,004439,0.0424156643,0.0694335204
2006,004460,0.0268123315,0.0589266853
2006,004790,0.122094082,0.1935725316
2006,004926,0.0312484993,0.1927667164
2006,005046,0.0305058992,0.0972474526
2006,005074,0.0098752367,0.0213241617
2006,005087,0.0136469809,0.0286452337
2006,005180,0.0020400372,0.0112398459
2006,005492,0.0384750024,0.1513114598
2006,005606,0.0051267977,0.0050147107
2006,005643,0.5850737213,0.3450683211
2006,005680,0.0556320915,0.0664974265
2006,005691,0.0034995013,0.0013335415
2006,005878,0.0142142478,0.0262279889
2006,006066,0.0174177112,0.0435638065
2006,006180,0.1148422958,0.3649874521
2006,006185,0.2508255017,0.571501143
2006,006266,0.0010374738,0.0077640598
2006,006268,0.1343369372,0.1499923361
2006,006314,0.0709239978,0.1955020001
2006,006527,0.0574863748,0.192049055
2006,006733,0.0288312421,0.0823829127
2006,007171,0.038098818,0.0577296078
2006,007205,0.3446307157,0.4152177298
2006,007257,0.0020035988,0.0254046686
2006,007260,0.0829137418,0.1715118772
2006,007275,0.1431511139,0.3055828934
2006,007343,0.022281319,0.0727967433
2006,007346,0.1527480931,0.2667032687
2006,007409,0.2250052409,0.5016177213
2006,007637,0.1627460379,0.1224542281
2006,007912,0.0038483098,0.0428632885
2006,008068,0.0576108793,0.110239252
2006,008210,0.0835801619,0.1081838357
2006,008334,0.0161068938,0.0462197821
2006,008358,0.0228912408,0.0549179341
2006,008546,0.0117135314,0.0377671927
2006,008549,0.1083741451,0.2148003107
2006,008644,0.01027514,0.0344942781
2006,008717,0.1312872003,0.1026869759
2006,008762,0.0790817643,0.4046339732
2006,008867,0.4249313173,0.6869169297
2006,009325,0.1755159888,0.1332795209
2006,009611,0.2317720054,0.0831890882
2006,009771,0.158052068,0.1855910647
2006,009899,0.2089648751,0.2685213129
2006,009922,0.1066254382,0.1742659505
2006,010016,0.0084362454,0.0106710881
2006,010030,0.0377057374,0.0868108838
2006,010530,0.4037110299,0.4840405323
2006,010984,0.0472607322,0.1335504575
2006,010991,0.0327345264,0.1040008866
2006,011465,0.1984507854,0.1912166739
2006,011499,0.1174976246,0.4270031192
2006,011923,0.2357487594,0.3521812929
