gvkey1,gvkey2,year
4242,12412,2000
4242,30128,2005
4242,11555,2007
4245,61503,1998
4245,4194,1998
4245,24908,2000
4283,14037,1997
4299,5834,1985
4311,61102,1997
4311,61102,1997
4321,1893,1985
4321,5535,1987
4321,6715,1987
4321,7160,1990
4321,4058,1996
4321,2817,1999
4321,122380,2003
4321,100114,2004
4321,3333,2006
4321,137292,2007
4321,64397,2010
4321,4321,2014
4321,10740,2016
4321,142811,2017
4323,8833,1987
4327,8629,1986
4327,13555,1988
4327,12165,1988
4335,3084,1990
4340,124440,2004
4351,4029,2007
4351,6788,2009
4352,2991,2003
4359,29276,2002
4367,5397,1994
4367,4401,1995
4367,5047,1999
4367,63482,1999
4371,15159,1994
4371,14182,1996
4371,6096,1998
4383,9904,2000
4383,6867,2002
4393,13158,1989
4409,4245,2003
4423,63803,2007
4423,3336,2012
4425,6709,1987
4430,107817,2011
4439,17079,1998
4439,63635,1999
4439,61370,2000
4449,8005,1983
4452,1319,1982
4456,30718,
4460,14326,2007
4460,66275,2008
4460,2136,2016
4462,7810,1987
4462,4462,2006
4462,5047,2008
4467,64603,1998
4476,132740,2006
4476,116770,2010
4480,9095,
4497,4497,1998
4498,15444,2011
4503,2991,1996
4503,7475,1999
4503,28256,2010
4510,19364,1999
4510,2787,2009
4517,3188,1986
4517,175404,2011
4523,3976,1982
4538,10707,1982
4546,4788,1984
4553,9649,1999
4572,24880,2003
4577,11726,1986
4595,10741,1999
4598,10571,1990
4598,10920,2002
4600,1300,2014
4601,7647,2011
4611,2796,1996
4611,7127,2006
4622,4622,2007
4631,5867,1986
4640,16801,1993
4640,19019,1995
4640,15363,1997
4640,15182,1999
4640,8118,2001
4640,157973,2005
4640,4737,2008
4640,16778,2008
4652,4688,1983
4666,7163,2003
4666,13683,2006
4666,12886,2009
4674,17191,1993
4674,28353,1995
4674,15183,1996
4674,16871,1997
4674,16632,1997
4674,7773,2003
4674,4739,2004
4678,18757,1998
4678,156653,2009
4678,3071,2013
4679,16765,1995
4679,3878,1998
4679,6351,1998
4680,25400,1994
4680,16825,1994
4682,3199,1993
4682,14200,1994
4682,12174,1995
4682,11851,1996
4685,11298,1996
4685,19049,2013
4690,17004,1993
4690,25513,1996
4690,2022,1998
4692,9523,1985
4699,16754,1999
4699,11852,2000
4699,30806,2006
4699,4737,2007
4700,4633,1984
4700,18704,1993
4700,16951,1994
4700,17043,1994
4703,4347,1987
4703,23589,1992
4706,7909,1984
4708,22265,1993
4708,11687,2000
4710,3242,1984
4723,3231,1997
4723,8605,1998
4723,7238,1999
4723,8606,2000
4723,4723,2001
4723,28620,2002
4723,17256,2002
4723,65548,2002
4723,115814,2003
4723,7711,2004
4723,4737,2006
4723,4723,2006
4723,116615,2006
4723,10187,2006
4723,17255,2007
4723,12471,2008
4723,31358,2008
4723,2019,2008
4723,20109,2008
4723,31692,2009
4723,11842,2009
4723,11856,2010
4723,252940,2012
4723,25108,2012
4723,15634,2014
4736,27891,1999
4737,17805,1995
4737,114628,2005
4737,7647,2014
4739,1842,1985
4739,4683,1986
4739,4734,1986
